,coef,se,z,p,ci_low_95,ci_high_95,significant,stars
intercept,-0.032733083942429804,0.07488336968846071,-0.4371208731472706,0.6620236903470265,-0.17950179157281115,0.11403562368795156,False,
Evidence.mean,0.28110636384297016,0.07963125319163325,3.530100966344024,0.0004154011085646392,0.12503197554357875,0.4371807521423616,True,***
Specificity.mean,-0.0714311488287667,0.09074371991694424,-0.787174571354867,0.43117968073856194,-0.2492855716891674,0.10642327403163401,False,
Authority/Credibility.mean,0.12096577289897466,0.09141128713435424,1.3233133094514018,0.18573120740743598,-0.058197057664809274,0.3001286034627586,False,
Logic/Cohesion.mean,0.45917060369410645,0.09799501068046053,4.685652876668971,2.7906890014417485e-06,0.2671039120957859,0.651237295292427,True,***
Argumentation.mean,0.10411211290030886,0.09735058986190288,1.0694553884881188,0.28486452060275047,-0.0866915371027509,0.29491576290336863,False,
Opponent’s View.mean,-0.058831637921585626,0.07218032728200977,-0.815064715510771,0.4150352674057274,-0.20030247978663865,0.08263920394346738,False,
Sentiment.mean,0.331121116699504,0.09373490086348424,3.5325275180239397,0.0004116073858271285,0.14740408691264248,0.5148381464863655,True,***
Politeness.mean,-0.03454114173534767,0.09929427655736905,-0.34786639203107445,0.7279405260410281,-0.2291543476587508,0.16007206418805547,False,
Reciprocity.mean,0.008853458965577276,0.0790739714181492,0.11196426342063318,0.9108517420150595,-0.1461286771285448,0.16383559505969933,False,
Impact.mean,0.13846670246592566,0.07825959727821874,1.7693255176571654,0.07683956737978082,-0.014919289643991918,0.29185269457584323,False,
Commitment.mean,0.1583918422070581,0.08307393691591075,1.9066370041832226,0.056567609774303085,-0.004430082202079438,0.3212137666161956,False,
Scarcity/Urgency.mean,-0.0251278685404063,0.0842362465845207,-0.2983023289765597,0.7654724268996735,-0.190227878038902,0.1399721409580894,False,
Engagement.mean,-0.14471393115305128,0.096946383716823,-1.4927212919643875,0.13551015752625184,-0.33472535166942474,0.045297489363322146,False,
Propaganda.mean,0.03165029636067586,0.0794095864991153,0.39857021999514475,0.6902099081813624,-0.12398963320480823,0.18729022592615996,False,
Style.mean,0.2214778025932604,0.09026640224280737,2.4536017509317345,0.014143351996215081,0.0445589051833524,0.3983967000031684,True,*
